# pos,count
-1.280685488162846575e+01,1.000000000000000000e+00
-1.253113136413635154e+01,0.000000000000000000e+00
-1.225540784664423555e+01,1.000000000000000000e+00
-1.197968432915211956e+01,1.000000000000000000e+00
-1.170396081166000357e+01,2.000000000000000000e+00
-1.142823729416788936e+01,2.000000000000000000e+00
-1.115251377667577337e+01,0.000000000000000000e+00
-1.087679025918365738e+01,1.000000000000000000e+00
-1.060106674169154317e+01,1.000000000000000000e+00
-1.032534322419942718e+01,1.000000000000000000e+00
-1.004961970670731120e+01,1.000000000000000000e+00
-9.773896189215196983e+00,3.000000000000000000e+00
-9.498172671723080995e+00,2.000000000000000000e+00
-9.222449154230965007e+00,0.000000000000000000e+00
-8.946725636738850795e+00,1.000000000000000000e+00
-8.671002119246734807e+00,2.000000000000000000e+00
-8.395278601754618819e+00,3.000000000000000000e+00
-8.119555084262504607e+00,3.000000000000000000e+00
-7.843831566770388619e+00,1.000000000000000000e+00
-7.568108049278272631e+00,5.000000000000000000e+00
-7.292384531786157531e+00,3.000000000000000000e+00
-7.016661014294042431e+00,2.000000000000000000e+00
-6.740937496801926443e+00,4.000000000000000000e+00
-6.465213979309811343e+00,4.000000000000000000e+00
-6.189490461817696243e+00,8.000000000000000000e+00
-5.913766944325580255e+00,6.000000000000000000e+00
-5.638043426833465155e+00,9.000000000000000000e+00
-5.362319909341350055e+00,7.000000000000000000e+00
-5.086596391849234067e+00,2.000000000000000000e+00
-4.810872874357118079e+00,5.000000000000000000e+00
-4.535149356865003867e+00,1.200000000000000000e+01
-4.259425839372887879e+00,9.000000000000000000e+00
-3.983702321880771891e+00,1.100000000000000000e+01
-3.707978804388657679e+00,6.000000000000000000e+00
-3.432255286896541691e+00,1.000000000000000000e+01
-3.156531769404425702e+00,8.000000000000000000e+00
-2.880808251912311491e+00,1.900000000000000000e+01
-2.605084734420195502e+00,1.300000000000000000e+01
-2.329361216928079514e+00,1.600000000000000000e+01
-2.053637699435963526e+00,1.000000000000000000e+01
-1.777914181943849314e+00,1.800000000000000000e+01
-1.502190664451733326e+00,2.400000000000000000e+01
-1.226467146959617338e+00,1.700000000000000000e+01
-9.507436294675031263e-01,2.600000000000000000e+01
-6.750201119753871382e-01,2.000000000000000000e+01
-3.992965944832711500e-01,2.400000000000000000e+01
-1.235730769911569382e-01,2.100000000000000000e+01
1.521504405009590499e-01,2.100000000000000000e+01
4.278739579930750381e-01,2.600000000000000000e+01
7.035974754851892499e-01,4.100000000000000000e+01
9.793209929773052380e-01,3.800000000000000000e+01
1.255044510469421226e+00,4.000000000000000000e+01
1.530768027961535438e+00,3.000000000000000000e+01
1.806491545453651426e+00,5.300000000000000000e+01
2.082215062945767414e+00,4.900000000000000000e+01
2.357938580437881626e+00,5.000000000000000000e+01
2.633662097929997614e+00,3.800000000000000000e+01
2.909385615422113602e+00,5.600000000000000000e+01
3.185109132914227814e+00,5.000000000000000000e+01
3.460832650406345579e+00,4.400000000000000000e+01
3.736556167898459790e+00,3.800000000000000000e+01
4.012279685390574002e+00,5.600000000000000000e+01
4.288003202882691767e+00,5.400000000000000000e+01
4.563726720374805979e+00,5.000000000000000000e+01
4.839450237866920190e+00,5.000000000000000000e+01
5.115173755359037955e+00,3.800000000000000000e+01
5.390897272851152167e+00,3.700000000000000000e+01
5.666620790343266378e+00,3.300000000000000000e+01
5.942344307835384143e+00,2.700000000000000000e+01
6.218067825327498355e+00,1.900000000000000000e+01
6.493791342819612566e+00,1.800000000000000000e+01
6.769514860311730331e+00,1.200000000000000000e+01
7.045238377803844543e+00,1.100000000000000000e+01
7.320961895295958755e+00,1.300000000000000000e+01
7.596685412788076519e+00,1.100000000000000000e+01
7.872408930280190731e+00,3.000000000000000000e+00
8.148132447772304943e+00,6.000000000000000000e+00
8.423855965264422707e+00,4.000000000000000000e+00
8.699579482756536919e+00,3.000000000000000000e+00
8.975303000248654683e+00,6.000000000000000000e+00
9.251026517740768895e+00,7.000000000000000000e+00
9.526750035232883107e+00,0.000000000000000000e+00
9.802473552725000872e+00,0.000000000000000000e+00
1.007819707021711508e+01,4.000000000000000000e+00
1.035392058770922930e+01,2.000000000000000000e+00
1.062964410520134706e+01,4.000000000000000000e+00
1.090536762269346127e+01,1.000000000000000000e+00
1.118109114018557548e+01,1.000000000000000000e+00
1.145681465767769325e+01,1.000000000000000000e+00
1.173253817516980746e+01,2.000000000000000000e+00
1.200826169266192167e+01,0.000000000000000000e+00
1.228398521015403944e+01,1.000000000000000000e+00
1.255970872764615365e+01,2.000000000000000000e+00
1.283543224513826786e+01,0.000000000000000000e+00
1.311115576263038562e+01,1.000000000000000000e+00
1.338687928012249984e+01,0.000000000000000000e+00
1.366260279761461405e+01,0.000000000000000000e+00
1.393832631510673181e+01,0.000000000000000000e+00
1.421404983259884602e+01,1.000000000000000000e+00
1.448977335009096201e+01,2.000000000000000000e+00
