# pos,count
-1.371024097663262964e+01,1.000000000000000000e+00
-1.342261223631241052e+01,0.000000000000000000e+00
-1.313498349599218962e+01,0.000000000000000000e+00
-1.284735475567197049e+01,0.000000000000000000e+00
-1.255972601535175137e+01,1.000000000000000000e+00
-1.227209727503153047e+01,1.000000000000000000e+00
-1.198446853471131135e+01,1.000000000000000000e+00
-1.169683979439109223e+01,0.000000000000000000e+00
-1.140921105407087310e+01,0.000000000000000000e+00
-1.112158231375065398e+01,1.000000000000000000e+00
-1.083395357343043308e+01,1.000000000000000000e+00
-1.054632483311021396e+01,1.000000000000000000e+00
-1.025869609278999484e+01,1.000000000000000000e+00
-9.971067352469773937e+00,1.000000000000000000e+00
-9.683438612149554814e+00,0.000000000000000000e+00
-9.395809871829335691e+00,5.000000000000000000e+00
-9.108181131509116568e+00,3.000000000000000000e+00
-8.820552391188897445e+00,3.000000000000000000e+00
-8.532923650868676546e+00,5.000000000000000000e+00
-8.245294910548457423e+00,4.000000000000000000e+00
-7.957666170228238300e+00,7.000000000000000000e+00
-7.670037429908018289e+00,1.100000000000000000e+01
-7.382408689587798278e+00,4.000000000000000000e+00
-7.094779949267579156e+00,4.000000000000000000e+00
-6.807151208947360033e+00,6.000000000000000000e+00
-6.519522468627140022e+00,9.000000000000000000e+00
-6.231893728306920011e+00,8.000000000000000000e+00
-5.944264987986700888e+00,8.000000000000000000e+00
-5.656636247666481765e+00,7.000000000000000000e+00
-5.369007507346260866e+00,5.000000000000000000e+00
-5.081378767026041743e+00,7.000000000000000000e+00
-4.793750026705822620e+00,6.000000000000000000e+00
-4.506121286385603497e+00,1.100000000000000000e+01
-4.218492546065384374e+00,7.000000000000000000e+00
-3.930863805745163475e+00,1.200000000000000000e+01
-3.643235065424944352e+00,6.000000000000000000e+00
-3.355606325104725229e+00,6.000000000000000000e+00
-3.067977584784504330e+00,6.000000000000000000e+00
-2.780348844464285207e+00,1.000000000000000000e+01
-2.492720104144066084e+00,8.000000000000000000e+00
-2.205091363823846962e+00,8.000000000000000000e+00
-1.917462623503627839e+00,1.300000000000000000e+01
-1.629833883183406940e+00,1.300000000000000000e+01
-1.342205142863187817e+00,1.300000000000000000e+01
-1.054576402542968694e+00,1.200000000000000000e+01
-7.669476622227477947e-01,1.600000000000000000e+01
-4.793189219025286718e-01,1.600000000000000000e+01
-1.916901815823095490e-01,2.700000000000000000e+01
9.593855873790957389e-02,2.300000000000000000e+01
3.835672990581286967e-01,3.000000000000000000e+01
6.711960393783495959e-01,3.200000000000000000e+01
9.588247796985687188e-01,2.900000000000000000e+01
1.246453520018787842e+00,4.500000000000000000e+01
1.534082260339008741e+00,3.800000000000000000e+01
1.821711000659227864e+00,4.200000000000000000e+01
2.109339740979446987e+00,4.000000000000000000e+01
2.396968481299666109e+00,5.200000000000000000e+01
2.684597221619885232e+00,3.900000000000000000e+01
2.972225961940104355e+00,3.500000000000000000e+01
3.259854702260327031e+00,3.200000000000000000e+01
3.547483442580546154e+00,3.100000000000000000e+01
3.835112182900765276e+00,3.100000000000000000e+01
4.122740923220984399e+00,1.900000000000000000e+01
4.410369663541203522e+00,3.100000000000000000e+01
4.697998403861422645e+00,3.300000000000000000e+01
4.985627144181641768e+00,4.300000000000000000e+01
5.273255884501860891e+00,4.700000000000000000e+01
5.560884624822080013e+00,3.100000000000000000e+01
5.848513365142302689e+00,3.300000000000000000e+01
6.136142105462521812e+00,2.500000000000000000e+01
6.423770845782740935e+00,3.200000000000000000e+01
6.711399586102960058e+00,3.600000000000000000e+01
6.999028326423179180e+00,2.500000000000000000e+01
7.286657066743398303e+00,3.000000000000000000e+01
7.574285807063617426e+00,3.300000000000000000e+01
7.861914547383840102e+00,2.500000000000000000e+01
8.149543287704059225e+00,2.800000000000000000e+01
8.437172028024278347e+00,1.800000000000000000e+01
8.724800768344497470e+00,1.500000000000000000e+01
9.012429508664716593e+00,1.600000000000000000e+01
9.300058248984935716e+00,8.000000000000000000e+00
9.587686989305154839e+00,1.500000000000000000e+01
9.875315729625373962e+00,6.000000000000000000e+00
1.016294446994559308e+01,6.000000000000000000e+00
1.045057321026581576e+01,5.000000000000000000e+00
1.073820195058603488e+01,6.000000000000000000e+00
1.102583069090625401e+01,4.000000000000000000e+00
1.131345943122647313e+01,2.000000000000000000e+00
1.160108817154669225e+01,7.000000000000000000e+00
1.188871691186691137e+01,3.000000000000000000e+00
1.217634565218713050e+01,2.000000000000000000e+00
1.246397439250735317e+01,0.000000000000000000e+00
1.275160313282757230e+01,1.000000000000000000e+00
1.303923187314779142e+01,1.000000000000000000e+00
1.332686061346801054e+01,0.000000000000000000e+00
1.361448935378822966e+01,0.000000000000000000e+00
1.390211809410844879e+01,1.000000000000000000e+00
1.418974683442866791e+01,1.000000000000000000e+00
1.447737557474888703e+01,1.000000000000000000e+00
1.476500431506910793e+01,1.000000000000000000e+00
