# hist,2 days,6 days,11 days,16 days,21 days,26 days,31 days,36 days,41 days,1 years,2 years
 -4.8,  0.0,  2.0,  1.0,  7.0,  6.0,  4.0,  7.0,  7.0,  4.0,  1.0,  0.0
 -4.6,  1.0,  2.0,  2.0,  3.0,  7.0,  6.0,  6.0,  2.0,  7.0,  2.0,  0.0
 -4.4,  0.0,  1.0,  3.0,  5.0,  6.0,  9.0,  3.0,  7.0,  8.0,  3.0,  0.0
 -4.2,  0.0,  2.0,  6.0,  5.0,  5.0,  9.0,  5.0,  6.0,  4.0,  4.0,  0.0
 -4.0,  1.0,  1.0,  5.0,  7.0,  6.0,  8.0,  3.0,  4.0, 10.0,  1.0,  0.0
 -3.8,  0.0,  3.0,  3.0,  5.0,  7.0,  6.0,  5.0,  8.0,  4.0,  1.0,  0.0
 -3.6,  2.0,  1.0,  5.0,  1.0,  5.0,  2.0,  5.0,  6.0,  4.0,  3.0,  0.0
 -3.4,  1.0,  5.0,  4.0,  7.0, 13.0,  8.0,  5.0,  1.0,  4.0,  5.0,  0.0
 -3.2,  1.0,  2.0,  2.0, 11.0, 10.0,  6.0, 11.0,  5.0,  7.0,  2.0,  0.0
 -3.0,  0.0,  4.0,  5.0,  7.0,  2.0, 14.0, 11.0,  7.0,  1.0,  6.0,  0.0
 -2.8,  0.0,  9.0, 13.0,  7.0,  6.0,  9.0,  4.0,  7.0,  8.0,  1.0,  0.0
 -2.6,  5.0, 15.0, 12.0,  9.0, 13.0, 11.0, 10.0,  7.0,  6.0,  4.0,  0.0
 -2.4,  1.0, 23.0, 15.0,  8.0, 13.0, 14.0,  6.0,  7.0,  8.0,  2.0,  0.0
 -2.2,  3.0, 10.0, 12.0, 15.0, 10.0,  7.0,  4.0, 14.0,  3.0,  0.0,  0.0
 -2.0,  3.0, 15.0, 15.0, 20.0, 15.0, 10.0, 11.0, 10.0,  9.0,  2.0,  0.0
 -1.8,  5.0, 17.0, 19.0, 11.0, 15.0, 13.0, 14.0,  6.0,  9.0,  3.0,  0.0
 -1.6, 15.0, 24.0, 25.0, 23.0, 16.0, 14.0, 10.0,  7.0,  8.0,  1.0,  0.0
 -1.4, 21.0, 17.0, 31.0, 20.0, 14.0, 17.0, 13.0, 11.0, 12.0,  2.0,  0.0
 -1.2, 16.0, 19.0, 20.0, 24.0, 13.0, 14.0, 11.0,  9.0,  6.0,  4.0,  0.0
 -1.0, 21.0, 29.0, 26.0, 31.0, 21.0, 15.0, 18.0,  7.0, 11.0,  0.0,  0.0
 -0.8, 34.0, 25.0, 20.0, 22.0, 23.0, 19.0, 13.0, 14.0,  6.0,  0.0,  0.0
 -0.6, 46.0, 40.0, 25.0, 19.0, 24.0, 15.0, 15.0, 11.0, 12.0,  4.0,  0.0
 -0.4, 48.0, 38.0, 32.0, 26.0, 27.0, 17.0, 19.0, 21.0, 14.0,  4.0,  0.0
 -0.2, 52.0, 46.0, 42.0, 23.0, 23.0, 17.0, 25.0, 18.0, 22.0,  8.0,  0.0
 -0.0, 78.0, 56.0, 38.0, 32.0, 14.0, 10.0, 24.0, 20.0, 14.0,  6.0,  0.0
  0.2, 94.0, 53.0, 43.0, 33.0, 25.0, 19.0, 23.0, 31.0, 20.0,  2.0,  0.0
  0.4,135.0, 54.0, 52.0, 27.0, 29.0, 20.0, 30.0, 27.0, 23.0,  4.0,  0.0
  0.6,143.0, 70.0, 40.0, 38.0, 28.0, 29.0, 32.0, 12.0, 20.0,  3.0,  0.0
  0.8,119.0, 70.0, 43.0, 49.0, 34.0, 29.0, 24.0, 22.0, 18.0,  6.0,  0.0
  1.0,112.0, 68.0, 46.0, 42.0, 21.0, 28.0, 19.0, 30.0, 26.0,  6.0,  0.0
  1.2,111.0, 72.0, 47.0, 30.0, 48.0, 29.0, 29.0, 30.0, 33.0,  6.0,  0.0
  1.4, 72.0, 74.0, 61.0, 37.0, 38.0, 18.0, 25.0, 29.0, 27.0,  4.0,  0.0
  1.6, 51.0, 76.0, 47.0, 43.0, 24.0, 31.0, 26.0, 31.0, 30.0,  9.0,  0.0
  1.8, 67.0, 56.0, 47.0, 38.0, 41.0, 38.0, 26.0, 34.0, 23.0,  8.0,  0.0
  2.0, 45.0, 54.0, 49.0, 41.0, 28.0, 35.0, 23.0, 25.0, 30.0,  6.0,  0.0
  2.2, 26.0, 50.0, 52.0, 41.0, 36.0, 43.0, 25.0, 25.0, 31.0,  4.0,  0.0
  2.4, 13.0, 50.0, 47.0, 48.0, 44.0, 27.0, 26.0, 23.0, 38.0,  8.0,  0.0
  2.6, 15.0, 42.0, 45.0, 41.0, 31.0, 29.0, 41.0, 14.0, 26.0,  7.0,  0.0
  2.8, 12.0, 41.0, 46.0, 51.0, 42.0, 40.0, 26.0, 24.0, 21.0,  5.0,  0.0
  3.0,  8.0, 21.0, 46.0, 51.0, 41.0, 42.0, 19.0, 28.0, 30.0,  4.0,  0.0
