# pos,count
-1.259549470417500316e+01,1.000000000000000000e+00
-1.233489935607833310e+01,2.000000000000000000e+00
-1.207430400798166481e+01,1.000000000000000000e+00
-1.181370865988499474e+01,1.000000000000000000e+00
-1.155311331178832468e+01,1.000000000000000000e+00
-1.129251796369165461e+01,0.000000000000000000e+00
-1.103192261559498455e+01,2.000000000000000000e+00
-1.077132726749831448e+01,1.000000000000000000e+00
-1.051073191940164619e+01,1.000000000000000000e+00
-1.025013657130497613e+01,0.000000000000000000e+00
-9.989541223208306064e+00,0.000000000000000000e+00
-9.728945875111635999e+00,2.000000000000000000e+00
-9.468350527014965934e+00,3.000000000000000000e+00
-9.207755178918297645e+00,3.000000000000000000e+00
-8.947159830821627580e+00,2.000000000000000000e+00
-8.686564482724957514e+00,2.000000000000000000e+00
-8.425969134628287449e+00,5.000000000000000000e+00
-8.165373786531617384e+00,5.000000000000000000e+00
-7.904778438434948207e+00,2.000000000000000000e+00
-7.644183090338279030e+00,5.000000000000000000e+00
-7.383587742241608964e+00,1.000000000000000000e+00
-7.122992394144938899e+00,7.000000000000000000e+00
-6.862397046048269722e+00,6.000000000000000000e+00
-6.601801697951599657e+00,4.000000000000000000e+00
-6.341206349854929591e+00,7.000000000000000000e+00
-6.080611001758260414e+00,8.000000000000000000e+00
-5.820015653661590349e+00,1.000000000000000000e+01
-5.559420305564920284e+00,3.000000000000000000e+00
-5.298824957468251107e+00,1.100000000000000000e+01
-5.038229609371581041e+00,5.000000000000000000e+00
-4.777634261274911864e+00,8.000000000000000000e+00
-4.517038913178241799e+00,2.000000000000000000e+00
-4.256443565081571734e+00,1.100000000000000000e+01
-3.995848216984901669e+00,5.000000000000000000e+00
-3.735252868888233380e+00,8.000000000000000000e+00
-3.474657520791563314e+00,6.000000000000000000e+00
-3.214062172694893249e+00,6.000000000000000000e+00
-2.953466824598223184e+00,1.100000000000000000e+01
-2.692871476501553119e+00,9.000000000000000000e+00
-2.432276128404884830e+00,7.000000000000000000e+00
-2.171680780308214764e+00,1.500000000000000000e+01
-1.911085432211544699e+00,1.200000000000000000e+01
-1.650490084114874634e+00,8.000000000000000000e+00
-1.389894736018204568e+00,1.400000000000000000e+01
-1.129299387921534503e+00,1.100000000000000000e+01
-8.687040398248662143e-01,1.500000000000000000e+01
-6.081086917281961490e-01,1.500000000000000000e+01
-3.475133436315260838e-01,2.300000000000000000e+01
-8.691799553485601848e-02,2.900000000000000000e+01
1.736773525618140468e-01,3.200000000000000000e+01
4.342727006584823357e-01,3.500000000000000000e+01
6.948680487551524010e-01,2.200000000000000000e+01
9.554633968518224663e-01,3.200000000000000000e+01
1.216058744948492532e+00,3.900000000000000000e+01
1.476654093045162597e+00,4.200000000000000000e+01
1.737249441141832662e+00,4.100000000000000000e+01
1.997844789238500951e+00,3.500000000000000000e+01
2.258440137335171016e+00,3.700000000000000000e+01
2.519035485431841082e+00,2.100000000000000000e+01
2.779630833528511147e+00,2.500000000000000000e+01
3.040226181625181212e+00,3.500000000000000000e+01
3.300821529721849501e+00,2.800000000000000000e+01
3.561416877818521343e+00,3.100000000000000000e+01
3.822012225915189632e+00,4.600000000000000000e+01
4.082607574011857920e+00,3.700000000000000000e+01
4.343202922108529762e+00,3.000000000000000000e+01
4.603798270205198051e+00,4.000000000000000000e+01
4.864393618301869893e+00,2.800000000000000000e+01
5.124988966398538182e+00,4.800000000000000000e+01
5.385584314495206470e+00,2.600000000000000000e+01
5.646179662591878312e+00,4.000000000000000000e+01
5.906775010688546601e+00,2.800000000000000000e+01
6.167370358785218443e+00,3.300000000000000000e+01
6.427965706881886732e+00,3.100000000000000000e+01
6.688561054978555021e+00,3.100000000000000000e+01
6.949156403075226862e+00,3.700000000000000000e+01
7.209751751171895151e+00,2.900000000000000000e+01
7.470347099268566993e+00,2.000000000000000000e+01
7.730942447365235282e+00,1.400000000000000000e+01
7.991537795461903571e+00,1.400000000000000000e+01
8.252133143558575412e+00,1.300000000000000000e+01
8.512728491655243701e+00,1.000000000000000000e+01
8.773323839751915543e+00,9.000000000000000000e+00
9.033919187848583832e+00,7.000000000000000000e+00
9.294514535945255673e+00,8.000000000000000000e+00
9.555109884041923962e+00,6.000000000000000000e+00
9.815705232138592251e+00,5.000000000000000000e+00
1.007630058023526409e+01,5.000000000000000000e+00
1.033689592833193238e+01,2.000000000000000000e+00
1.059749127642860422e+01,2.000000000000000000e+00
1.085808662452527251e+01,3.000000000000000000e+00
1.111868197262194080e+01,4.000000000000000000e+00
1.137927732071861264e+01,1.000000000000000000e+00
1.163987266881528093e+01,1.000000000000000000e+00
1.190046801691195277e+01,1.000000000000000000e+00
1.216106336500862106e+01,2.000000000000000000e+00
1.242165871310528935e+01,1.000000000000000000e+00
1.268225406120196119e+01,3.000000000000000000e+00
1.294284940929862948e+01,0.000000000000000000e+00
1.320344475739529955e+01,3.000000000000000000e+00
